Job Title,Tell Us Why You Left?
"Loan Officer, Regional Sales Ctr, Inside",terrible quality and quantity of leads and pay structure cut. Lots of companies are structured far better. I see Carrington as unstable. 
"Representative, Customer Service, CMS","My mother, who lived in Toronto, Canada, was ill and I needed to go to spend time with her and help with her care.  Unfortunately, she passed away on May 8, 2016."
"Specialist, Bankruptcy, II",The department I was in was moved to Texas. Moving expenses are not covered and no one could tell me if I was going to be laid off or moved to another department.  Felt I was left in the dark about my future at Carrington. I had only been there a few months before it was decided my department would be moving. I would have stayed at my last job had i known. Rather than wait for a surprise lay off I chose to make the decision to leave and take control of my employment fate. 
"Supervisor, Loan Servicing","There are several reasons I left Carrington.  I completed an exit interview with Niky Polychronopoulos so feel free to refer to her notes for more information.  First off I moved to Ohio to work for Carrington.  I gave up my whole life and family in another state for this job only to find out after being there a few short weeks that it was the worst job of my life.  Carrington is the shadiest most unorganized company I have ever worked for.  The first few months were fine but then they hired Fran Schaut.  This man is a complete idiot.  He only got the job because he must be best friends with Bob Warren.  He didn't know anything.  Several times I would try to speak to him he would turn his nose up at me and keep moving till he found a male to speak to.  He would come out of his office looking specifically for men to answer his question and wouldn't give a female the time of day.  I had to chat with him on two occasions about customer situations that turned into him yelling me and telling me what an idiot I was for lack of better words.  He doesn't know how to lead or give feedback.  He is one of the worst managers I have ever worked for.  He decided on 12/31/15 that he would send an email to the floor stating that schedules would be changing and offered no more info than just that.  When I left in late April the schedules still weren't changed.  The man cant make a decision to save his life.  When he was told that people were going to leave since he couldn't provide more info or an eta on schedule changes he replied with ""good.""  Again, something you don't do as a leader but after knowing how Carrington operated he fits in well.          The biggest reason I left Carrington was because of my immediate supervisor Cale.  We heard great things about Cale prior to him arriving and we quickly realized they were just rumors.  He's the more arrogant man I have ever met in my life.  He is the worst leader I have ever had the chance to work for.  He would bring a bible to work and while he coached you or gave you bad feedback would tell you he was a Christian man and tried to do the right thing.  He played favorites (specifically with the black female sups and male sups).  I personally think he was afraid of the black females.  There were several occasions that he would tell confidential information to one of my peers that I told to him about one of their agents.  He would brush off information we told him as it related to associate performance on the floor.  I had one particular associate be down right disrespectful to me on multiple occasions and then the agent decided to go to Cale and complain about me.  The agent created some lies that I was able to prove were lies and Cale decided to write me up based on the stories he was told.  He told me that at his old job he was known for writing up the most sups.  This should say a lot about Cale - that he cant lead or coach.  You shouldn't spend time writing up sups you should coach them.  Upon being written up I felt like there was a target on my back.  Cale would find things to ""yell"" at me for or ""talk to me about"" that I wasn't doing correctly even though prior to the write up he never mentioned them.  I felt as though I was being singled out and would be fired soon.  For this specific situation I had shared some issues I had with the agent and some conversations the agent and I had and Cale brushed them off and wouldn't address the behavior.  He then told a black female peer of mine that he wrote me up and she shared that with the agent with whom I had difficulties with.  While I was there we switched up teams and managers and I remained on Cale's team, myself and another white female supervisor who I feel was also on the radar.  I believe he kept us on his team so that he could ensure we got fired.  I often shared with him how much Carrington meant to me since I moved my whole life here for this job and his response would be ""ehhh maybe this isn't the job for you.""  I have over 12 years call center experience, over 6 years in leadership experience and over 5 years of mortgage experience.  Only an idiot would make that kind of statement.  I should have been doing Cale's job because he clearly cant do it.  I am still very frustrated with myself that I left Chase to come to Carrington.  I don't ""job hop"" and I made a very big decision in my life to come to Carrington only to leave about 9 months into my tenure there.  This is so out of character for me and I am frustrated I left but I am very happy I left.  I could go on and on but bottom line - Carrington unfortunately is employing some very awful untrustworthy leaders and the biggest one being Cale.  He is the main reason I left this company.  I am soooooooooo happy I left and leaving was the best decision I have ever made.  During my time there was I was starting to have health issues and upon leaving I have never felt better.  I work for a leader who supports me and a company who appreciates their employees.  I am sorry I had to provide such a lengthy negative email but it needs to be said.  Like I said earlier I could go on and on about all the awful things going on there and what I encountered while I was there but I will leave it at this.  Feel free to contact me if you would like to discuss any items I wrote about. 4196182369"
"Loan Officer, Centralized","1.  The new lead management system is an absolute joke.  2.  The dialer is a joke.  What do you think happens when you call the same people 20-30 times?  You burn these people out and you piss them off.  3.  A new portfolio hasn't been purchased in over 18 months and you added 100 additional LO's.  That only chews through the remaining leads faster and faster.  4.  You cut the comp and promised that it was because we were going to be busier than ever.  We were going to have so many leads that we would all be funding more loans than ever before.  You cut the comp 3 months before even implementing the horrible new lead system, and before introducing new leads for us to work.  5.  The phone NEVER rings with inbound calls.  Those all go to IN and FL.  6.  Dennis Hueman is a joke.  Get rid of that guy.  He is ruining your company.  7.  No new leads.  8.  No new leads for 18+ months.  9.  No new leads.  10.  You lied to us and to new hires about securing new leads when there weren't actually any new leads."
"Analyst,Loan Servicing,Quality Assurance","My pay was not fair, based on my experience and value I brought to my team. When I spoke to management they were unwilling to increase my wages. "
RE Sales Agent,I felt that dealing with foreclosure was very time consuming & I was concerned with my safety going in some of the foreclosed houses ...nothing is worth more than my life 
"Specialist, Loan Set-Up, RegSalesCtr,II",The reason I left Carrington was because I felt like I didn't have the opportunity for career growth when management changed.
"Specialist, Closing, CTS","Poor leadership, starting with upper management . Very obvious the company does not care for employees. Absolutely no training, the little training received was not enough for the expectations given. Every person I worked with at Carrington feels the same way. "
"Loan Processor, Branch, Sr.",I had no pipeline the entire time I was there. I barely closed any loans. All I heard around me was how much  more money everyone was making. My manager was no help to me. I posted for another position in Retail and wasn't given the position even after I interviewed for it hr stated there was a hiring freeze and no clue of an end date on it. I sat there with no work while other depts could've used my help. I then excepted a position at another employer and have my notice only to be told I could leave the same day. I am a hard worker and only wanted to work but Carrington did need me.
RE Sales Agent,"My husband was solicited with an email by Adrian Petrila because of his many years of listing REO properties.  Joe decided to make an appointment and I came with him, after a few meetings we decided to join Carrington. We were told their was a sign-on bonus for joining but was told we miss the cut off time by a few days and he wouldn't honor it.  I have never worked so hard with any RE Broker with mandatory webinars and taking classes on line then test after test with no results. I have had my RE license since 1990 and have never seen anything like your company in all my life. Waiting weeks to get paid. #Ridiculous.....The office isn't appropriate to bring clients to, which we were told the office was only temporary. Not at all an upscale business. We gave up a big percentage of our commission to accept your company's lower commission only because of the opportunity for the REO's.  I decided to leave and my husband decided to stick it out with CRES but Adrian said if I leave Joe can't stay. Again, I have never seen where a RE brokers feels he has the right to claim both husband and wife. At the Christmas party we meet a husband and wife agents and the wife works for CRES as a REO agent and her husband worked for someone different.  Adrian said they made an acception for them.  I am very happy we left Carrington."
"Representative, Customer Research, CMS","When I first started Carrington in October of 2014 there was a group of 30 or so call center employees.  It was a great place to work with a great comradery among the group. I went with the move from Fishers to the Westfield Indiana office.  When I left the call center in August of 2015 it was still a great place.  I then moved to the research department at Carrington.  My enjoyment of my work quickly went away.  I worked 10 hrs overtime every week because we had so much of a workload.  That lasted from August 2015 until January 2016. What caused my lack of wanting to work for Carrington was the preferential treatment between the supervisors and some of the workers in the Research Department.  Some could easily get time off, others never got approval no matter the workload or time available. The final straw for me was when my daughter had to spend 2 days in the hospital for a surgery.  Even though I had over 2 wks of earned PTO, I was only able to take one day.  I would have understood had there been a huge workload or others had requested the time off but no one had.  There was no one who was taking the time off the second day I needed.  When I brought this up to my supervisor I was told they ""may need me to help with payoffs"". Please understand a research representative and payoff representative are 2 separate paid roles even though I did help out as needed.  I felt my willingness to help the department above and beyond my job punished me in by not being able to spend time with my family at a time when my daughter really needed me. "
RE Sales Agent,"My wife and I were recruited by Adrian Petrila and were told that we would each receive about 30 REO properties a year.  We had been working for Realty World for 5 years and listed about 35-40 Freddie Mac assets annually.  In the 10 1/2 months that we were with Carrington we completed all the REO training but only received 3 REO listings and sold 2 of the 3.  We feel that the time that we spent with Carrington was a huge waste of time and regret our decision to go with the company.  In our opinion, the company’s commission structure is one of the worst in Southwest Florida and we were tired of giving a large percentage of our commission to the broker for so little in return.  We would never recommend Carrington Real Estate Services to anyone."
RE Sales Agent," I was mislead and promised several things that were not so. I was told Carrington would provide my flyers, I'd have a better split... Never told I'd pay for Boomtown... Terrible experience and the corporate trainers were great at presenting but no follow through.  "
"Specialist, Special Servicing","There were several reason why I left Carrington.     1) Management was very unprofessional. The manager, Justin Covington encouraged the reps in SSD to ""swope"" loans from one another which caused a very hostile work environment. Reps don't like each other, they make it known on the floor, the foul language on the floor is ridiculous.     2) The things that went on in that dept, from people being handed deals due to favoritism, from management bad mouthing his reps and lead to me. This place is full of drama. I knew from the 2nd week I was there it was a very unprofessional place with management (in the department I was in) had no integrity.     3) I also had an incident where the customer was in foreclosure, my supervisor advised me we can accept $3000 as a full payoff. This lady was unemployed, had no money, sold everything she had and came up with the money. Justin Covington came to my desk and told me to ask her for $5k, I advised him of her situation and of how my supervisor Rick Rodriguez told me I can accept $3k. The borrower had $3k, and could not come up with the rest. He started to laugh and said ""I don't give a sit, I can foreclose on the home and get $11k"".  I don't think a borrower's situation is a laughing matter. I don't think it is ok to tell the borrower one thing and go back on it.     4) I fell ill while working there due to stress and decided for personal reason I needed to leave along with the fact that it was just not a good fit. I should have known by the chatter in the break room by all of the unhappy employees but, I like to make my own judgments. "
"Representative, Customer Service, CMS",I left Carrington because it is not my career job. I wanted to start my career so found a job that started it for me. Carrington was a good place to work at be it that the people who works there made it easier.
RE Sales Agent,Office is to far from my home.
RE Sales Agent,Territory diference
"Representative, Customer Service, CMS","I didn't like the change in scheduling, I wasn't told before I was hired that I would calling customers to collect a debt starting the second of the month "
"Underwriter, Loss Mitigation, II","The new UW manager in the home retention department was very disrespectful to me and I didnt feel the need to be treated that way. I loved my job, just couldnt compromise my integrity.  I wouldnt mind coming back to Carrington if Giovanni V.  is no longer there. "
RE Sales Agent,"I was disrespected repeatedly by this company over and over again, the last straw was reached by me.  The Newly appointed Area Broker disrespected me on a level that was not going to be tolerated by me.  Dishonesty is something I will not put up with from a Broker, he got caught in his lies by Carrington's own Vendor.  WOW!!!  Which also reminded me why was I working for someone I never even met in person?  Crazy.  In addition, your accounting department is disorganized and I was paid at the wrong percentage and then the length of time was unacceptable to wait for the corrections was over a month.      The list can go on and on.  I would tell anyone who ever thinks about going to  Carrington to RUN!!!! do not walk. RUN FOREST RUN!!!!!"
RE Sales Agent,"Real Estate has gotten too computer oriented for me. I am old school and prefer one on one, face to face relationships. Also, I was just not in the mood to put up with all the corporate BS."
"Trainee, Loan Officer, I",Relocated 
RE Sales Agent,I had been offered a position with a company that does Reverse mortgages. My goal is to do reverse and residential listings. I would hope that the door would still be open after I become versed in Reverses.
"Loan Officer, Branch, Outside",Limited office space availability.
"Manager, District",I left because my job was ending on 5/31
"Coordinator, Recruiting","Zero opportunity for growth. Management refusal to invest adequate time and money in its strongest employees. Bonuses/ICP based on job title rather than performance. Lack of perks/incentives. Internal audit reported violations i did not commit. Poor performance review system. Lack of appreciation. Getting written up for the behavior of others.  Other than that, my time at Carrington was perfect."
RE Sales Agent,I was misled about the structure of the company in regards to the lead center and commission structure. 
"Representative, Customer Service, CMS","I left carrington, because the supervisors had attitudes when you would ask for assistance. Also, I feel that the company didn't care about their employees."
"Representative, Customer Service, CMS",I believe that CMS is unethical and didn't care about their customers.  I feel like CMS lacked organization. 
RE Sales Agent,Because it is hard no to have a local office .  And the Commission structure is really low.
"Loan Officer, Regional Sales Ctr, Inside",Carrington model does not allow me to grow my business. I wanted to work in environment that was supportive and proactive. I also felt that we where not paid enough. The commission structured changed. 
"Loan Officer, Branch, Inside",I am moving to North Carolina and there is not an office close to my residence.
RE Sales Agent,"I left Carrington because of the fees.  I was nickle and dimed over transaction fees to include having to pay a full transaction fee on an REO sale in which I made the company over $4k.  This is not a company for experienced agents - I made the company over $17k in one year and they lost me over $400...I moved to an agency that promotes growth for their agents and not taking money from them.  The fuel fee is a joke, and the admin fee is higher than others.  Very disappointed that I joined and glad that I left.  Usha Cheriathundam was my broker I contacted and she did a very good job in supporting my business - but being that I would have to explain everything about Carrington to my clients as no on knew who Carrington was.  The fees charged are in line with RE/MAX who I left and wish I never had.  The marketing money that was promised never was given or no lenders were interested in partaking.  Boomtown is a waste of money and provided 0 results.  My current broker charges a flat fee of $295 for each closing and that is it...just gave myself a $17k raise!  You will not make it in our market place with the fees you charge agents."
"Representative, Customer Service, CMS",I was fired due to attendance.which I'm still not completely understanding when I got a write-up for the issue still under 6 points and was fired a week later.personally the new attendance policy is a hoax other than that I have nothing bad to really say about Carrington it was a great learning experience and I appreciate it
"Loan Processor, Regional Sales Center, I",base salary too low 
"Representative, Customer Research, CMS","I live an hour away from the office. Once I had my baby, it did not makes sense to drive that far to work everyday.   I was also working an 11-8 shift, so my daughter would have been in daycare from about 9:30am until 8-9pm and more than half of my pay would have gone to paying for her daycare.    Additionally, my department (Customer Research) was EXTREMELY understaffed and overworked. We had mandatory overtime most days and were not allowed to take time off. I even had high BP during the end of my pregnancy due to the work overload. I was not even allowed to take off work early and was treated poorly because my doctor would keep me home from work in order to keep my BP down.     The department supervisors majorly played favorites and if you were not one of them, you were treated like a kindergartener. I did not feel as if I was treated like an adult while working at CMS... I felt as though I was back in high school. The drama was ridiculous.     Most importantly, the pay structure was INSANE. The fact that the customer service representatives made more money than those in the research department was insane to me. We made only $1 more an hour but did not get bonuses and we worked a lot harder to fix the mistakes they had made while on the phone with customers.    Lastly, I believe the culture of CMS Westfield was not at all professional. (There would be employees smoking marijuana in the parking lot on their breaks/lunches, employees wearing extremely inappropriate attire, employees being extremely rude to borrowers, the list goes on.)"
"Loan Officer, Regional Sales Ctr, Inside","1) I left Carrington because the Commission Structure had a severe decrease on Refinances. It went from .75 bps to .40 bps. All the Loans in my Pipeline were Refinances.  Carrington customer loans are very difficult to get to Funding, including a Streamline Loan. I already was making 50-100% less than Peers at other Mortgage Co's in town, so with the smaller loan sizes, difficult loans, this decrease was very unfortunate.   2) Puchase Leads had no quality to them. The Borrowers had Fico in 400 - 550 range, no down payment.  With FHA tightening up on their Guidelines, it's very hard to serve the Underserved.   3) I found it very difficult to capture any Realtors to get Referrals from because the Borrower and Realtors were typical very unhappy with the difficulty of Closing the loan, and missing close of escrow.   4) The Loan Officer job is more than 40 hours per week, and the Co said no overtime.   5) Hearing about the Hiring Freeze when the Office was supposed to be at 30-40 Loan Officers by December 2015, and it was Co wide, made me concerned about how Carrington was being run.   6) Carrington needs better Health insurance and a 401 k Plan.     If I hear that the Office is running smoother, with decent Leads, and Pay Plan, I would consider going back to Carrington.      "
"Underwriter, Retail Branch, Sr.","I was a re-hire and Carrington had been reaching out to me for several months to come back to work for them and I had not returned any of their calls because I knew the type of environment this company had.  Eventually I finally gave in and it ended up being the worst decision I have ever made in my life.  After meeting with the underwriting manager Rich Anderson which I personally never worked with in the past but we did cross paths when I left the company the first time re-assured me that some of the issues in the underwriting dept from before had been addressed and all is well.  I then met with Pam (Rich's boss and she convinced me how the climate at Carrington was so much better as she had once left in the past for the same reason's.  Well from the very beginning it was nothing but negativity and stress throughout the department and company.  There was no true sense of leadership and no one respected the leadership or new what was ever going on at any given time.  I was only there for 4 months and I could never get my manager team lead, my manager's boss, IT or anyone to obtain the basic general sign-ons that any underwriter would require at any job and anytime I would inquire about then I would be look upon as a trouble maker.  Now mind you others were hired in after me and got all general basic sign-ons and any other tools needed to complete there job but not me.  About 1 month after I stated they hired another U/W manager by the name of Kathy Upchurch and that's when things really went bad quickly because she came in made a personal assessment about each of us and treated us accordingly and did not keep it professional.  I did not care that this women did not like me personally, I had a problem with her difference of treatment.  so she decided that she was going to use the fact that I did not have basic sign-ons that should have been provided to me when I first started and the fact that I had medical issues that that I had appointments that I had already spoken to mngt about as a reason to eventually drive me out of there, so she thought, but I had already decided that there was no way I could ever work with such an incompetent unprofessional personal that a company will always back up no matter what.  This is just a very condescended version as to normal day to day things that goes on at Carrington that makes people no longer ever want to work for such a company again.  I am sure my one little story will not change anything about how you handle business but I hope that this at least gets someone to thinking about it.  "
"Director,  Financial Reporting","The senior level and executive management were the worst I've ever encountered.  Specifically, accounting and finance!  They lie and cheat employees out of legitimately earned bonuses and never provide COLA adjustments or raises.  The environment is terrible and depressed.  Employees feel trapped instead of inspiration, desperation instead of gratitude.  Too much to list!    The positive side is that I'm no longer there.  Thank god!    I hope this helps.    "
"Representative, Customer Research, CMS","The drive and traffic was getting too stressful and difficult to make it to work on time.  When CMS moved to Westfield, that added over 20 minutes additional time to my commute on a good day. That increase in time and mileage was a paycut due to added time and auto maintenance. CMS not having a 401k made it feel like they were not willing to invest in my future which made it feel like I was not appreciated. The department I worked in kept promising a pay increases which never came.  Furthermore the mandatory overtime on specific days made it difficult to plan outside work activities. At the time I was there a hiring freeze between departments which restricted career path changes. This is what made me look outside of the company as I needed more income and had given CMS enough time to make change that never happened. "
RE Sales Agent,I wanted more of a boutique company and I did not want to be involved with REO properties.  I also wanted a higher commission rate.
"Loan Officer, Regional Sales Ctr, Inside",Two words: Ryan Higley
"Specialist, Servicing, SPOC",I left to care for my son who needs my time to overcome some challenges he is going through and my work schedule didn't allow me to be there for him.
RE Sales Agent,"Great company, great people, I was very happy during my stay and learned a lot. Another opportunity came up with an old friend and a took the chance. Also, I had some location problems, parking was a problem and my clients complained about it too. It is hard to focus or call when you have to remember to move your car or you get a ticket or when you have to drive 15-30 minutes looking for a parking space. Sometimes even the lot across the street was full. "
"Loan Officer, Centralized, Senior","Lack confidence in Dennis Human, new SR VP. 95% of loan agents in Anaheim don't relate to him "
"Underwriter, Wholesale, Team Lead","I left Carrington because number one, my health went down hill.  I had to go on blood pressure medication.  I was required to work when it was not needed neglecting my family, even though I was the top underwriter.  I was never praised, always received demeaning e mails.  The money was great, my quality of life was not.  No one in management cared except for Jen Rocha, who had already left. My leaving was the best thing I had ever done for myself and my family.  I now wake up loving to go to work and being appreciated for the amazing work that I do.  And the personal experience for an employee to get a loan was horrible.  I am refinancing now to get out of Carrington's less than acceptable servicing"
"Loan Officer, Regional Sales Ctr, Inside",Work environment had became negative and the restructuring of compensation.   
RE Sales Agent,"I left because your contracts with you agents are unconscionable. You lie and mislead agents and over work and under pay them. Your management has no ethics and you literally stole $20k in commission from my Daughter and I, which I am still contemplating filing a law suit on. I have worked with Nationstar and their Managemnt for years and they is no comparison to the great people there and your management. We are doing fantastic at my new broker and if it wasn't for the fact that you did the wrong you did we wouldn't have moved offices, so it all worked out to our benefit! "
"Specialist, Servicing, SPOC",I left Carrington because there was a lot of drama between peer and superiors. A lot of changes happened where I thought Carrington was really not pro-employee. It was more on the business look rather than employee and business. It was a hostile work environment to me and to many other who still work or worked there. It was a good pay but really it wasn't worth the stress it put in my worklife. Being in Carrington felt like being in high school. I dreaded coming to work. 
"Specialist, Collateral",My supervisor did not help me to grow within the company even though I wanted to stay in CMS. Although I commented her that I wanted to apply for another position she did not give me feedback and it was not until I told her that I was leaving that she got back to me.
RE Sales Agent,"The communication was nil. I would call on behalf of customers underwater & I would not get an answer from short sale section after numerous emails & calls. I was trying to help these people. The commission structure is bad on REO . I had an occupied REO with 6 months of work. It sold @ auction for $143,00 & I received $250. I had an REO before I left I was to split the commission with another agent. I never got it with many calls to Seth Lesselbaum to no avail, maybe  you can help. "
"Specialist, Servicing, SPOC","    On this date, February      2016 please accept this written correspondence as my formal two-week notice of resignation. I regret to inform that I am leaving CMS to pursue a new opportunity that will better fit me and my family. I came to CMS with no call center or mortgage experience. In my year at CMS I have learned a lot about the mortgage industry and I have excelled in my SPOC role both individually and as a team member. I started with CMS with a minimum of a five year plan because growth and opportunity were stressed in my interview. I was given a schedule choice and went with what worked for my family best. Since my start with CMS there has been an ongoing uncertainty in direction of the SPOC role and department as a whole. In less than one year I have experienced a company move and within weeks of my start date a schedule change. A second schedule change came recent with Saturday's added in which we were notified in the form of an email at 5:00 pm on New Years Eve. Also, in recent weeks many continuous changes and changes to changes have been taking place at rapid pace in SPOC. These changes have come with no clear direction as to what to expect, continuous job role/description changes and not to mention a severe lack of communication. I strongly feel lack of communication, organization and inconsistency is a huge issue not only in SPOC but across the servicing department. The continuous changes and addition of nearly 20 employees to SPOC has raised concern for our potential income going forward. An internal freeze has prevented individuals as myself to stay with the company and feel as we are being forced out. A quote from our manager directly ""I hate to see any of you go,but I understand if you cannot make it work."" Meetings between reps and managers and managers with managers have been on going for weeks. At the end of the day we are all humans and not robots and have a life and family aside from CMS and at some point there needs to be a balance or the good employees who would rather grow with a company and now not provided the opportunity will begin to leave. Employees are feeling undervalued and easily replaceable. This has become apparent when we have been asked about our questions and concerns. With all of that being said, my current SPOC position has become no longer conducive to myself or my family.  I greatly appreciate the opportunity.  "
"Specialist, Servicing, SPOC",Due to illness that I was advised may take up to six weeks to heal along with new attendance policy I decided to resign to stay in good standing with Carrington.
RE Sales Agent,"I feel that everything was a lie by Carrington and Jerry Stapp.  First of all, Your ad said you will supply leads, and I was recruited on the idea that Carrington would supply leads, and they will take a larger portion of the commission, but that was OK by me. Then Jerry asked me to buy signs, so I will have them when I receive the leads. So I done that. Then I was asked to buy open house signs, and portion of that - $ 99 for a starter kit- will be paid back to me. I bought the signs, and submitted the receipt, then I was promised for a refund, but I have not received the $ 99 back. Altogether I spent over $ 600 on signs. Then I was asked to take all the online classes that I will need before I can receive assignments. I took all the classes, well over 40 different online classes. Then on a meeting after that I asked Jerry: when can I start receiving leads, and he said, there will not be any leads assigned to new agents for some time. ... Bottom line: EVERYTHING was a lie. The recruiting ad promising leads, the manager dangled the carrot on the idea of getting leads, I was asked to buy signs, and promised a refund, and NONE OF THEM promises was true. I didn't mind working for an unknown name Carrington, because I thought you will jumpstart my work with leads, but after all the misrepresentation, I felt that I don't want to work with a company who is base their business model on lies."
"Accountant, Staff, CPS","I left Carrington because I was bored. I felt that I was overpaid for the tasks assigned to me, and there was no opportunity to develop or increase my contribution to the company. The promotion opportunities within accounting are non existent. Our department hadn't gotten raises in 5 years."
"Auditor, Vendor Site","I left carrington mtg because I wasn't given the proper necessities for success.  I'll elaborate more.     I was hired on fresh off of unemployment. My manager expected me to use my credit cards (which were maxed out do to me being unemployed) to book my flight, rental car, and all other expenses. Not to mention he wanted me to book 4 appointments scheduled out over 4 to 6weeks. Who has the money/credit availability for that when you're  fresh off of unemployment???? I expressed that to him on numerous occasions and he didn't seem to care. My only option was to resign from my position. "
"Loan Officer, Centralized","Everything seemed like a big secret, everything changed constantly, there was no training at all.  Good people but bad practices as far as leading a group of people. "
RE Sales Agent,Moved out of the area
"Specialist, Servicing, SPOC",I left because the management in the spoc department were rude nasty and mirco micro managers.I wittness one of the managers acting  inappropriately with the director over the department. I believe that is why she was so rude and nasty toward everyone.
"Loan Officer, Regional Sales Ctr, Inside","Corporate cut our commission rate twice since I started and it went from 95bps to 40bps.  Your focus was moving toward purchases and you NEVER close on-time, which hurts my reputation as a loan officer."
RE Sales Agent,"Have leukemia, stage two. Not working full time any more. Can't be around large groups with compromised immune system. I needed a company that would provide leads. Not that interested in REO sales.  Staff, support and training were outstanding.     I would not hesitate to recommend to anyone. Big company with small company feel.    I am doing more free lance writing than real estate these days. I do not regret my time with Carrington in the least. Your Boomtown program is ideal for real estate.    Best wishes for your continued success. "
"Analyst, Application Support, II",There was an opportunity that came up that best fit my future goal as a Business Systems Analyst.
"Specialist, Loss Mitigation",I left Carrington to a full time mom.
"Representative, Customer Service, CMS",I left Carrington because my current job is closer to where I live.  I'm 10 minutes away from my current job.
"Specialist, Post Close, Team Lead, MLD",The only reason i left Carrington is to move up north to live with my boyfriend and be cIoser to my family. I loved working for Carrington Mortgage and hoping to find a position in the area I have relocated to. 
RE Sales Agent,"I did not feel supported by the company and did not feel that the company provided the tools necessary to conduct business. Our office, for example, did not have a color printer in the times when most other brokerages provide top-notch high-end services. The change in management was discouraging also. The file processor was not helpful either. The office had completely lacked any sense of camaraderie and after six months of being on-board, I did not know the names of any of my co-workers... I probably would not recognize them if I saw them on the street either. I was really excited to join Carrington in the beginning but found the brokerage to be disappointing to say the least. I had become a top-producer at my current brokerage since leaving and most of it could be attributed to the fact that I actually enjoy going to the office, feel appreciated and know that my brokerage actually cares about me and my business."
RE Sales Agent,"I joined the company because I was told that the company has a very good support team, especially to new agent. In addition, the company has listing which provides good opportunity for a new agent to learn.  I have spent a lot of hours to get my training done and to be certified. But it turned out that the company's listings were assigned to those selected agents. I finally got a REO listing after one of the experienced agent rejected it. I went to take the pictures during raining day in an abandoned property  which resulting in pictures were not clear. Because of this my expenses for lockbox and rekey were rejected. The property later was sold in an auction, and my lockbox was broken. It was a very horribly experience, I did not get any help from anyone even I repeatedly asked for help.  I don't mind to pay 40% of my commission to the company, but at least I need to get reasonable support.  All good REO assignments were assigned to those favorite agents.   I am very happy with where I am now. My current company is more friendly. I got more help, generate more business and keep more commission for myself."
RE Sales Agent,"It did not feel the same after Dan Depies was let go.  We were shifted to another office in Tampa, where our experience was downplayed.  Felt like I was starting over after 5 years with the company and I was required to jump through hoops to get  REO properties that never came.  Emphasis was on lead generation for greenlight mortgage so that I could get properties that cost more time and gas than what was earned in commission.      There was strong emphasis on getting traditional listings  and sales...which is fine...but why deal with 80/20 split and a  transaction coordinator  when all was left up to me?          "
RE Sales Agent,"Did not have strong support from my Office Broker . Did not answer my my requests in a timely manner. On the few occasions I needed a timely input (say within 24 Hrs, few days went by without he acknowledging my requests. "
"Loan Processor, Branch, II",Horrible training.  No one directly in the office who knew anything about what I did-Processing.
"Specialist, Servicing, SPOC","I had left my current position in the SPOC department due to the inconvenience of the change in hours and days that were to take place as of February first 2016. These hours and days I would not be able to meet. I was not able to change my schedule in that time frame, nore could I work on Saturdays. I have requested Saturdays off due to religous obervance and would not be able to work any Saturdays. I was told by the department manager if i can not meet the companys schedule then best to part ways, the company would not change. I had no choice on the matter and had to quite come the last day of the month of January. I enjoyed my job and worked hard to do well, working with others and excel. Unfortunately,  the company would not work with me on the matter. I leave the company with a Thank you for the opportunity given to me. "
"Manager,Inside Sales, Retail Bus Develop","Two major reasons.   1: the product line for a loan officer in the bay area, particularly in the south bay and north bay where loan amounts tend to be beyond the 625k loan amounts, Carrington does not have any competitive products to offer clients. Jumbo pricing is way out of market and also no 2nd mortgage resources to offer clients a viable option of doing a combo loan to get into these higher loan amounts since the jumbo pricing is poorly priced.    2: paying commissions only once a month. do to the fact that an LO can only be paid once per month for commissions, it subject the LO to a higher tax rate when those commissions are received which equates into a much lower net income. My first commission check was a gross of 28k and I only took home half of that. I guess if you are a low producing LO it would not affect you as much but for me, this was a deal breaker.    I believe Carrington has a great model and works great for lower priced markets but it's just not a viable option for the bay area where loan limits typically exceed 625k. If you fix these two things, it would allow Carrington to capture a greater market share in the Bay Area"
